[礼物] 英姿🐰 : 粉丝团灯牌 x1 (钻石:0, repeatEnd=true)
[礼物] 转行 : Thuglife x1 (钻石:99, repeatEnd=false)
[礼物] ¡汐月！ : Thuglife x1 (钻石:99, repeatEnd=false)
[礼物] 用户4152794479998 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 用户4152794479998 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 111号 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 111号 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 111号 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 111号 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 龙门鲤鱼 : 入团卡 x1 (钻石:1, repeatEnd=false)
[礼物] 龙门鲤鱼 : 恭喜 龙门鲤鱼 成为第10924名音缘～成员 x1 (钻石:0, repeatEnd=true)
[礼物] 龙门鲤鱼 : 入团卡 x1 (钻石:1, repeatEnd=true)
[礼物] 小发大发 : 玫瑰 x1 (钻石:1, repeatEnd=false)
[礼物] 小发大发 : 玫瑰 x1 (钻石:1, repeatEnd=true)
[礼物] 小发大发 : 玫瑰 x1 (钻石:1, repeatEnd=false)
[礼物] 老肖 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 小发大发 : 玫瑰 x1 (钻石:1, repeatEnd=true)
[礼物] 老肖 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 草莓布丁 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 草莓布丁 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 梦 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 梦 : 小心心 x3 (钻石:3, repeatEnd=false)
[礼物] 梦 : 小心心 x4 (钻石:4, repeatEnd=false)
[礼物] 夕阳红爷爷一 : 入团卡 x1 (钻石:1, repeatEnd=false)
[礼物] 夕阳红爷爷一 : 恭喜 夕阳红爷爷一 成为第10925名音缘～成员 x1 (钻石:0, repeatEnd=true)
[礼物] 梦 : 小心心 x4 (钻石:4, repeatEnd=true)
[礼物] 夕阳红爷爷一 : 入团卡 x1 (钻石:1, repeatEnd=true)
[礼物] 红枣姥姥 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 红枣姥姥 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 小发大发 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 小发大发 : 小心心 x2 (钻石:2, repeatEnd=false)
[礼物] 用户7845923492096 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 小发大发 : 小心心 x2 (钻石:2, repeatEnd=true)
[礼物] 用户7845923492096 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 龙门鲤鱼 : 人气票 x1 (钻石:1, repeatEnd=false)
[礼物] 龙门鲤鱼 : 人气票 x1 (钻石:1, repeatEnd=true)
[礼物] 淡雅 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 淡雅 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 用户085256 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 用户085256 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 丰年 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 玉儿玉儿 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 丰年 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 玉儿玉儿 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 丰年 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 玉儿玉儿 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 夜行者 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 夜行者 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 云游天下 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 云游天下 : 小心心 x3 (钻石:3, repeatEnd=false)
[礼物] 云游天下 : 小心心 x5 (钻石:5, repeatEnd=false)
[礼物] 云游天下 : 小心心 x6 (钻石:6, repeatEnd=false)
[礼物] 云游天下 : 小心心 x7 (钻石:7, repeatEnd=false)
[礼物] 云游天下 : 小心心 x8 (钻石:8, repeatEnd=false)
[礼物] 云游天下 : 小心心 x9 (钻石:9, repeatEnd=false)
[礼物] 云游天下 : 小心心 x10 (钻石:10, repeatEnd=false)
[礼物] 诚信 : 小心心 x1 (钻石:1, repeatEnd=false)
[礼物] 云游天下 : 小心心 x10 (钻石:10, repeatEnd=true)
[礼物] 诚信 : 小心心 x1 (钻石:1, repeatEnd=true)
[礼物] 婉清 : 小心心 x1 (钻石:1, repeatEnd=false)
